fold,model,best_params,accuracy,f1_score
0,logreg,"{'penalty_solver_combo': 'l2__liblinear', 'model__C': 0.8588043736377017, 'model__class_weight': 'balanced'}",0.7523809523809524,0.8030233337999148
1,logreg,"{'penalty_solver_combo': 'l2__saga', 'model__C': 0.00343216820935657, 'model__class_weight': 'balanced'}",0.43555555555555553,0.3082529336001035
2,logreg,"{'penalty_solver_combo': 'l2__newton-cg', 'model__C': 0.005019378833836323, 'model__class_weight': 'balanced'}",0.642512077294686,0.669014761987688
3,logreg,"{'penalty_solver_combo': 'l2__newton-cg', 'model__C': 0.0023569095502886423, 'model__class_weight': 'balanced'}",0.7155555555555555,0.7205047744236265
4,logreg,"{'penalty_solver_combo': 'l1__saga', 'model__C': 5.169539219265869, 'model__class_weight': 'balanced'}",0.5476190476190477,0.5157337754751505
0,rf,"{'model__n_estimators': 494, 'model__max_depth': 21, 'model__min_samples_split': 9, 'model__min_samples_leaf': 4, 'model__max_features': 'log2'}",0.5952380952380952,0.6460692622192405
1,rf,"{'model__n_estimators': 182, 'model__max_depth': 11, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt'}",0.40444444444444444,0.31699336899499436
2,rf,"{'model__n_estimators': 415, 'model__max_depth': 27, 'model__min_samples_split': 2, 'model__min_samples_leaf': 3, 'model__max_features': 'log2'}",0.391304347826087,0.3825595394418054
3,rf,"{'model__n_estimators': 247, 'model__max_depth': 8, 'model__min_samples_split': 4, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt'}",0.6622222222222223,0.6807413762031022
4,rf,"{'model__n_estimators': 411, 'model__max_depth': 15, 'model__min_samples_split': 9, 'model__min_samples_leaf': 2, 'model__max_features': 'log2'}",0.46190476190476193,0.4596270717924559
0,xgb,"{'model__n_estimators': 357, 'model__max_depth': 7, 'model__learning_rate': 0.016745481994293376, 'model__subsample': 0.5959931639851244, 'model__colsample_bytree': 0.5582430861484275, 'model__gamma': 0.204185888294227, 'model__reg_alpha': 2.3815435424400024, 'model__reg_lambda': 1.2938142513228041}",0.6190476190476191,0.6549911766255924
